,review,sentiment
38433,"I sat down to watch a documentary about Puerto Rico, and I ended up watching one about Nuyoricans. When I go to Puerto Rico, I fail to see the 50% that live in poverty. When I do see struggling people, they are usually Haitians, Dominicans, or Cubans that have recently arrived to the island. There is no such thing as spanglish... either you speak Spanish, or you don't.... and from what I heard... you don't. Pedro Albizo Campos IS NOT MLK to me. MLK was a great man. Campos is a great man to those that want independence which is 1%. To the rest he as loco as Osama Bin Laden. Puertoricans that want independence are a bunch of fools. If you want any proof to all of you dreamers of an independent Puerto Rico see Cuba, Haiti, Dominican Republic, Bahamas, all of South and Central America, and Mexico. Its worked wonders for them. This documentary is not about Puerto Rico, this documentary was about the Nuyoricans and their struggles.<br /><br />To the person that complaint that not enough of Africa was on the show... it was suppose to be about Puerto Rico... not Africa. Denzel will make one shortly just for you.<br /><br />In conclusion... to all those ignorant white people that think we need green cards to come to the US, and want to learn how the prime minister runs things, this is not a good documentary about Puertorican culture. Tell your kids to pay attention in Geography, and History class.<br /><br />***Update***<br /><br />Bocabonita... ""doc."" was about Nuyoricans. She promoted it as if its how we all feel. Should have been titled... ""yo soy nuyorican... lunche...can't speak Spanish."" PLEASE STOP USING PUERTO RICO, RICAN, BORICUA, OR ANYTHING ELSE ASSOCIATED WITH PR WITH THIS NUYORICAN HISTORICAL LESSON. God forbid they play this on the island.",negative
5524,"This is a really sad, and touching movie! It deals with the subject of child abuse. It's really sad, but mostly a true story, because it happens everyday. Elijah Wood and Joseph Mazzello play the two children or Lorraine Bracco, a single mother who just tries to make a home for them. While living with her parents, a man, who likes to be called ""The King"" comes into their life. He hits the youngest boy, Bobby, but the two brothers vow not to tell their mother. But finally she finds out, after the Bobby is hurt badly. The end kind of ruined it for me, because it is so totally unbelievable. But, except for that, I love the movie.",positive
41099,"Giallo fans, seek out this rare film. It is well written, and full of all sorts of the usual low lifes that populate these films. I don't want to give anything away, so I wont even say anything about the plot. The whole movie creates a very bizarre atmosphere, and you don't know what to expect or who to suspect. Recommended! The only place I've seen to get this film in english is from European Trash Cinema, for $15.",positive
14139,"This has got to be THE worst Steven Segal movie I have ever watched (even worse than eco-piffle like On Deadly Ground & Fire Down Below). I'll start with the good points..., It's got stylish direction for a DTV movie and has wonderful scenry... That's it! The story dosen't really go anywhere, it's just an array of well staged set pieces just so seagal go shoot bad guys (the body count can easily match Tarantino at his bloodiest!). The plot is needlessly complicated and confusing you forget who the good and bad guys are. The acting (I use the term loosely) is mediocre at best, seagal's usual ONE constipated expression and wooden acting I can take but the others especially the Brits were down right terrible.<br /><br />What's in the package? Why are bad guys after it? Is seagal being set up?<br /><br />WHO GIVES A S***!<br /><br />When I rented this movie at my local Blockbuster (Once i'd paid) the assistant laughed at me and said it was the worst movie in the shop I could have picked! (I felt like punching him till my arm went numb)<br /><br />Anyway, I haven't seen Half Past Dead or Out for a kill yet and i daren't go back for more humiliation at my store, but they can't be anyworse than this turkey<br /><br />The soundtrack is supposed to be young and hip - It just gave me a suuden urge for half a dozen asprins.<br /><br />All in all this is Seagal at his WORST! The guy who's gained about 100Ibs and looks well past it, he's a guy who just doesn't no when to stop, he should retire gracefully NOW! and have a go behind the camera or become a Martial arts teacher or something.<br /><br />My rating 2/10 (1 point for scenery)",negative
26265,"I registered at IMDb solely for the purpose of warning others about this movie. Hwo does anyone ever get funding for projects like this? That's the mystery. Farewell to Harry might be the worst movie ever, except that I tried to erase the others that rival this blathering idiocy. Bad plot, not-credible logic runs throughout. I can't spoil this movie for you by revealing anything that would make your experience less enjoyable. There is nothing enjoyable about this movie. I have the CD and will send it to you for free, it is that bad. First come, only served. If I know you, this offer is void, because I wouldn't inflict this movie on anyone, not on purpose. YOU HAVE BEEN WARNED.",negative
28595,"Being that I loved the original ""Caligula"" even with all its flaws, I have to say this remake trailer was abysmal.<br /><br />Listening to Jovovich say in that lazy American accent ""Mmm cuhligyooluh..."" makes me feel sick. The set doesn't look Roman at all... it looks like some rich actor's Hollywood mansion backyard, and the Roman costumes look like cheap crap you buy at a suburban costume shop.<br /><br />That ""charming"" Adriana Asti looks like a fifty year old Hispanic woman totally terrified out of her mind, as if not knowing it's a movie trailer.<br /><br />The acting has got to be some of the worst I've ever seen, with most of the lines I hear being random actors screaming ""CALIGULAAAAAAAAAAAAAAAAA!!!!!!!!"" as loudly and obnoxiously annoyingly as they can.<br /><br />The random sex scenes also filled a good 40 or 50% of the trailer, and the scenes with notable actors/actresses like Gerard Butler (who graces the screen in shadows for all of three and a half seconds) not doing anything but looking uncomfortable or going all-out over the top with their minimal lines, just dragging it down with the ridiculousness of their delivery.<br /><br />Courtney Love's part consists of her looking like her usual dumpy crack-whore self leaning against a door mumbling about the moon or something. You can't tell because she's either drunk or high or just mumbling idiotically.<br /><br />Karen Black is just annoying... randomly laughing, and screaming in such a way that irritates you.<br /><br />Helen Mirren... she was in the original, and her return to ""Caligula"" consists of... ""CAAAAAAAAAAAAAAAAAAAAAALIGULAAAAAAAAAAAAAAAAAAAAAAA!!!!!!!!!!!!!!"" I particularly ""love"" (and by love, I mean hate) Ennia's line, ""Caligola... j00 no maki me *something incoherent*.... *something that sounds like j00nalo*"" It's also insanely arrogant to say Caligula's four year reign was greater than Jesus's birth and death.<br /><br />Honestly, this has got to be the worst, most exploitative, self-indulgently arrogant piece of crap labeled as ""art"" I've ever seen. Even if Gore Vidal hated the original Caligula, he shouldn't have shown up or given his name over for this crap-pile, no matter how much they paid him (unless it was a billion trillion yen). Worst trailer ever.",negative
9047,"This movie is not that interesting, except for the first ten minutes. The pace and editing are a perfect introduction in an ensemble piece, even better than say Gosford Park. Then it inexplicably slows down, loses focus and starts resembling a traditional French movie only to regain focus in the end with the love relation between Antoine (Depardieu) and Cécile (Deneuve). In the middle there are too many sidelines and loose ends in the story, several threads started are not ended.<br /><br />*******SPOILERS AHEAD The main story is the relation between Antoine and Cécile. He has been loyal to her after his relation with her many years ago, despite her remarrying and setting up home in Morocco. As builder he now rebuilds his own life and recovers hers by taking the mask of Cécile's marriage. Having accomplished this, he is buried after a freak accident (literally) and becomes a comatose. He wakes only after she has burned their old picture as indication that they've reconciled with the past and can properly start their lives again together. *******END OF SPOILERS<br /><br />It remains unclear what vision this director wants us to see us because there are so many other stories here: Illegal immigrants want to enter Europe, there are frequent radio broadcasts about the overthrow of Iraq's former regime. Cécile's child is bisexual and is bitten by dogs (loyalty) once he meets his boyfriend, whereas the girl he lives with seems to be sick (of that?). Her sister is traditional Islamic, and enters a relation with Cécile's husband. It portrays Morocco as unnecessary backward, despite all the building there is a strange colonial vision shining through that almost glorifies the past. It portrays Islam as backward and prone to extremism, which may sometimes be true, but certainly not in general. In the end it can all best be described as adding some couleur locale and l'art pour l'art.<br /><br />Deneuve and Depardieu are great. With this material they are so familiar they are able to spin something extra in every scene: lifting an eyebrow, body language, radiating pride, awkward behavior. The movie itself is disappointing and only confirming the limited role of French cinema in the world nowadays. With some notable exceptions of course.",negative
36292,The film gets my stamp of approval. The scene in the museum demands acting without dialogue. This is one of the most interesting and unique scenes in the history of film. Dickinson's character Kate is very well developed and her performance is felt throughout the entire film. The best work Angie Dickinson did since Point Blank!,positive
17885,"The movie Haggard is one of the funniest movies of all time. It features the cast from CKY (the movies) and also has a GREAT soundtrack. If you have seen any CKY or Viva La Bam you will notice that everybody (from those two) are in it. Including Bam's parents and many other people.<br /><br />The story is about Ryan Dunn's girlfriend Glauren (Jennifer Rivall) cheating on him, and him trying to get back at her. He does this by having Valo (Bam) and Falcone (Dicamillo) vandalize her house. There are many different characters with many different stories.<br /><br />There is great music on the soundtrack. Bands such as Him & Her, CKY, Gnar Kill, Daniel Lioneye. Iggy and the Stooges Pop, and New Order. <br /><br />If you do not like Viva La Bam or CKY (the movies) I doubt you will like this. If you DO like that stuff...this movie is great.",positive
10529,"why oh why did i ever waste my time watching this film? it was given to me on video by a friend and i thought i'll watch it, it can't be that bad surely. firstly the acting is simply appalling and we're supposed to believe this is real? secondly this film is blatantly trying to copy the Blair witch project (yawn) and does so very poorly. so if you want the fright of your life i would suggest that a Simpson's Halloween special would be far scarier. but, if you just wanted to a laugh then maybe the general crapness of this film would suffice. but overall i would avoid this film at all costs or drink a large amount of alcohol before viewing. the best bit? its only about an hour and a half, thank god.",negative
27353,"Jewel Thief is *THE* crime thriller of Bollywood, and why should it not be? It is directed by the biggest exponent of the crime thriller art in Indian Cinema Vijay Anand ('Johny Mera Naam' and 'Teesri Manzil.) I could watch this movie for any of the following reasons (in order of importance):<br /><br />1 Vijay Anand's direction 2 R D Burman's music 3 Dev Anand 4 Vyjayanthimala 5 Ashok Kumar 6 Majrooh Sultanpuri's lyrics<br /><br />Even if Jewel Thief is not a Bond Movie it definitely has bond babes. Helen, Tanuja, and the mysterious Vyajanthimala (and some cameos.) But our sauvé Vinay (Dev Anand) is anything but Bond. He is out of control for most of the story and goes where the story takes him almost always as confused as we are. He even flirts with Anju (Tanuja) trying to hit her romantic nerve, just so that he can get employed in her father's shop.<br /><br />Dev Anand might be in a double role - well I don't want to spoil your movie or else I would have told you. That is what most of the mystery is about. Dev Anand works in a Jewelry shop and there is a robbery when he is supposed to be at work - though is not, or at least has a perfect alibi. We wonder who did it, is it Dev Anand as 'Vijay' the person he claims to be or is it 'Amar' someone we have not yet seen but many people claim is his look alike. Comes 'Shalu' (Vyjayanthimala) who even claims that he is her fiancé, in a tense situation Dev Anand has to prove that he is Vinay and not Amar. While everyone wonders if Dev Anand is Vinay or Amar he is asked to remove his socks. Amar we are told has 6 digits on one of his foot. While we watch with bated breath the events that are about to unfold Dev Anand even finds time to joke. <br /><br />The real life brothers Director Vijay Anand and Actor Dev Anand have many movies between them this is not the best of them but definitely the best in Crime Thriller. <br /><br />There are moments of Hitchcock's North By Northwest, but the movies are very different. Except for the confusion about who is who, a treacherous female lead and lot of traveling there isn't a lot of similarity. Dev Anand could very well be Amar in addition to being Vijay. People have seen him, they identify him where ever he goes. There are too many of those people for this to be a fraud. Finally Vinay thinks it is better to carry along with being Amar to find out what is the truth, and it is a sad mistake. He gets too deep into it, only to be saved by the twists of Cinema.<br /><br />When I watched the movie as a kid I was definitely not amused, the ending confused me completely. Even now there are parts about the ending that I do not like, but I'd recommend this movie anyway.<br /><br />Even as a kid I enjoyed the songs this movie has to offer. 'Yeh dil ...' - a definite loafers song in Kishor Kumar's voice. I could hear 'Rulake gaya ...' whole day long. Ditto for 'Aasmaan ke neeche' which is set 'under the skies' of Gangtok (at least the story line suggests that). 'Raat akeli hai' among the sexiest song to come out of Hindi cinema featuring Tanuja as the seductress. 'Meri taraf dekho' - Helen's cabaret and we 'look at her'. 'Hothon pe ...' - now, could there be any better thriller of a song than this. As the song progresses we are more tensed than we ever were and the words 'hidden in Shalu's lips' add to it.",positive
25743,"Its not sophisticated, and nobody in the credits had a great career, but taken as a whole, because there are no famous personalities; the film seems more realistic than some high budget, well cast films.<br /><br />A film made for a few bucks, that is worthy of watching should give hope to all those would be film makers and wantabee actors.<br /><br />The problem with this film is it was made in the worst possible time. TV was taking over the revenues of the film industry, and this film could have easily been shown on TV. In 1950, all the fare on TV would qualify for a ""G"" rating. The film industry began to make more ""adult"" films that could not be shown on TV during the days when TV wouldn't dare show the sex and skin of today's commercials.",positive
22479,"A great performance by Clint Eastwood and particularly John Malkovich in my opinion his finest one to date. Malkovich had this one nailed right down to the floor it's incredible. Eastwood is Agent Mike Horrigan, an aged and cynical Secret Service Agent who is finishing out his career busting counterfeiters and chasing down routine assignments. But one assignment which appears to be run of the mill at first turns complicated and deadly serious. Horrigan and his new partner Al are sent to investigate a threat on the President by a ""wacko"". As fate would have it Horrigan has stumbled not upon a delusional nut but a professional lone wolf who has a big bone to pick with the White House. As Horrigan dives deeper into ""Booth's"" world he attracts the bad guy's unwanted attention and unbridled admiration for him. Horrigan was JFK's top agent and present in Dallas, Texas when he was assassinated and blames himself for what happened. Now he feels it's up to him to stop the current Head of State from joining the list of dead Presidents. But this killer has turned the tables on Horrigan and now he's the hunted one in a life or death cat and mouse game. Who will win? Who will die? It's a race against time to save the Pres from a chameleon-like enemy who can get to anyone. My favorite Secret Service movie and as good a nail biter as any.",positive
40446,"I have always been somewhat underwhelmed by Joe Dante's original THE HOWLING (1981)  so I wasn't particularly interested in checking out any of its sequels; some time ago, I did catch HOWLING III: THE MARSUPIALS (1987)  by the same director as this one  and found it to be watchable but nothing special.<br /><br />The second instalment, however, has quite a bad rep and I knew I'd have a good time watching it  if mainly to wallow in the sight of dear but pompous horror icon Christopher Lee squirming in the midst of it all (the gracefully-aged star has pathetically asserted a number of times in interviews that he hasn't appeared in horror-oriented fare since his last picture for Hammer Films back in 1976!). Anyway, this film should have borne the subtitle ""Your Movie Is A Turd""  being astoundingly inept in all departments (beginning with the all-important werewolf make-up)! <br /><br />The plot (and dialogue) is not only terrible, but it has the limpest connection with Dante's film  strangely enough, the author of the original novel Gary Brandner co-wrote this himself! Still, one of the undeniable highlights (er...low points) of the film is the pointless elliptical editing  which tries to give the whole a semblance of style, but only serves to accentuate its embarrassment factor! Similarly phoney (and grating) are the hokey transitions between scenes, the inane punk-rock theme song, and the cheapjack special-effects at the climax! <br /><br />What about the characters, then?: Lee is the werewolf expert, naturally, whom everybody thinks a crackpot  until they come into contact with the monsters, that is; at the very least, though, one has to admire the makers' ingenuity (or gall) in devising a stupid subtitle with a dual meaning! Incidentally, Sybil Danning (as Stirba, Werewolf Bitch  the subtitle by which this is known in the U.K.!) is quite fetching in an assortment of outrageous S&M outfits...but her character is virtually given nothing to do (except preside over her brood of followers and engage in the occasional hilarious three-way lycanthrope sex!); her two snarling lieutenants (one of them a sluttish black girl) are especially irritating.<br /><br />Aiding Lee on the side of good are the two yuppie heroes (he being the brother of the Dee Wallace character from the first film and she a colleague of hers) and a ragged guerrilla-type band of Transylvians (still, they generally manage to effortlessly overcome Danning's rather dumb werewolves!). Notable among them is a knife-throwing dwarf who gets a particularly nasty (but, at the same time, side-splitting) demise; he's later revived, under Stirba's control, in order to lure Lee (by making childish taunts at him all through the village streets) into a trap. The latter scene has to be a career nadir for the distinguished and imposing actor  well, either this or the early sequence in a discotheque where Lee is made to don a pair of ultra-cool sunglasses so as to appear inconspicuous among the partying youngsters!<br /><br />In the end, if I were forced to mention elements in this which weren't entirely displeasing, I guess I could say that the ossuary set (in which the heroine is to be sacrificed) is interesting, or that the hybrid werewolf/bat creature (Danning's pet who likes to 'inhabit' the body of its victims) is just too weird to be despised...",negative
13172,"One thing about Hollywood, someone has a success and it's always rushed to be copied. And another thing is that players give some of their best performances away from their home studio.<br /><br />Rock Hudson got such accolades for his performance in the Texas based film Giant that Universal executives must have thought, let's quick get him into another modern Texas setting.<br /><br />Similarly Robert Stack got great reviews for The High and the Mighty as the pilot who was cracking under the strain of flying a damaged aircraft that it was natural to give him another crack up role.<br /><br />Both of these ends were achieved in Written on the Wind. Before Hudson was the big ranch owner, now he's the son of a hunting companion of Robert Stack's father who took Hudson under his wing. In other words the James Dean part without the James Dean racism from Giant. <br /><br />Lauren Bacall is the executive secretary of an advertising agency that Stack's Hadley Oil Company uses. Hudson likes her, but she's dazzled by Stack's millions and when he woos a girl he's got the means to really pursue a campaign. She marries Stack.<br /><br />And last but not least in the mix we have Dorothy Malone who's Stack's amoral sister who has a yen for Rock, but Rock ain't about to get tangled up with this wild child. <br /><br />Dorothy Malone spent over 10 years in a whole bunch of colorless film heroine roles before landing this gem. She got a Best Supporting Actress Award for her part as Marilee Hadley and it was well deserved.<br /><br />If you like splashy technicolor Fifties soap opera than this is the film for you.",positive
38799,"This is a pretty good made for TV flick of the 'what if' variety. As in, what if terrorists exploded a 'dirty bomb' in a big city, in this case, London. Lots of poking at folks that say 'we're all set in the event of an emergency' that then reveal that they're not exactly telling the full story. And is anyone prepared for something like this? You can bet not. This shows the material for the bombs being smuggled into the country, the making of the bombs, the secrecy and double lives that the people behind it lead, etc. It also shows public servants (i.e., firemen) giving their all to save people when they aren't getting any help, when the government doesn't want to send anyone else into the affected area. Also shows how woefully inadequate 'preparations' are for any such occurrence, as the government talks everything up but then stands there with their mouths hanging open as the tragedy unfolds. And could this happen right here in the good old USA? Well, unless you've been living in caves for the past 20 years something already has, to an extent, and don't bet that anyone would be prepared for something of this nature. This is fairly realistic and yes, even scary. Well worth seeing but just hope nothing like this ever really happens. 8 out of 10.",positive
3246,"You don't need to read this review.<br /><br />An earlier review, by pninson of Seattle, has already identified all the main shortcomings of this production. I can only amplify its basic arguments.<br /><br />Bleak House was a relatively late Dickens novel and is much darker than his earlier work. This is taken too literally by the director, Ross Devenish, who piles on the gloom and fog too much. When Ada, Rick and Esther appear, half an hour into the opening episode, it is a relief just to be in daylight for the first time. In some of the murkier scenes it was hard to see what was actually on my TV screen. I watched the whole thing in one day, starting in mid-afternoon. As daylight faded this became less of an issue, but I have a pretty good TV and I have never encountered this problem before at any time of day.<br /><br />The pacing is very deliberate (i.e. slow). I am sure this was intensional, but it is overdone. There are numerous shots of people trudging though the muck and gloom of Victorian London that are held longer than is necessary to establish the mood and atmosphere. A good editor could probably take several minutes out of each fifty-minute episode, without losing a line of dialogue, just by trimming each of these scenes slightly.<br /><br />I don't want to overstate these two problems. You soon adjust to the look and pace of this production. The more important issue is that it doesn't always tell the story very effectively. Earlier Dickens novels are as long as Bleak House, but are not nearly so intricately plotted. For example, I recently re-read Nicholas Nickleby because I was intrigued to see how Douglas McGrath crammed an 800 page book into his two-hour movie. The answer is simple: the book is full of padding. McGrath cut great swathes of the novel while still retaining all the essential story elements. This would not be possible with Bleak House. <br /><br />This production needs its seven hours. Probably, it needs even longer, because many elements of its convoluted plot are not sufficiently clear, or as well handled, as they need to be. A few random examples will illustrate the problems.<br /><br />The maid, Rosa, appears from nowhere with no background, so Lady Dedlock's attachment to her is largely unmotivated.<br /><br />Sergeant George's acquiescence in Tulkinhorn's demand for a sample of Horton's handwriting is somewhat fudged.<br /><br />It is not made clear enough that Esther is actually in love with Woodcourt when she agrees to marry John Jarndyce. Neither is it clear that they have agreed not to announce their engagement, or why.<br /><br />Ada and Rick's secret marriage is omitted. In one episode they are merely lovers, in the next, people are suddenly referring to them as husband and wife.<br /><br />Mrs Rouncewell is only introduced at a late stage in the story and Sargeant George's estrangement from his family is left unexplained - as is the means by which she is discovered.<br /><br />Tulkinhorn's dedication to maintaining the honour and respectability of the Dedlock family is understated, so his motive for persecuting Lady Dedlock is more obscure than it need be.<br /><br />The involvement of the brick makers with both Tom and (later) Lady Dedlock is somewhat opaque.<br /><br />It is not obvious that Guppy renews his offer to Esther because her smallpox scars have all but vanished.<br /><br />This is only a selection: there are others. They are not major problems and the main thrust of the story is clear enough. Nonetheless, they are minor irritations that detract from its power: you shouldn't have to puzzle over little plot points. However, there are more important structural problems that do weaken the story in its later stages.<br /><br />The whole business of Tulkinhorn's murder is somewhat thrown away. Bucket immediately pinpoints Hortense as a suspect, which undermines the suspense of Sergeant George's predicament and the importance of finding Mrs Rouncewell. It also diminishes the impact of the sub-plot in which suspicion is thrown on Lady Dedlock and weakens the scene in which Hortense is unmasked in front of Sir Lester.<br /><br />A more serious problem is that the murder, its investigation and the subsequent search for Lady Dedlock, dominate the story for over an hour, during which time we completely lose sight of the other main plot strand: the legal case and its effect on Rick. His failing finances, his gouging by Vholes and Skimpole, Ada's despair, his declining health and so on, are all put on hold for an entire episode. This may be how Dickens wrote the book (I haven't read it for years) but a good screenplay should keep the different plot strands moving forward together.<br /><br />Finally, Smallweed's role in the story is so diminished that he is almost superfluous. His discovery of the new will, that triggers the final phase of the story, is also thrown away. It happens off screen.<br /><br />Despite all of this, it is still a very good production. Many of the performances are outstanding. Individual scenes are beautifully realised. Its accumulating sense of tragedy is very powerful. I would still be recommending it as a superb adaptation of a great book, had it not been for the 2005 production. In fact, I probably wouldn't be fully aware of its defects if I hadn't seen how Andrew Davies did it better. I have been critical of Davies's Jane Austen adaptations, but I have to admit that he really knows how to tame Dickens's sprawling books.<br /><br />This is an impressive and gripping drama and well worth seven hours of anybody's time. Nonetheless, its probable fate is to be viewed mainly as a cross-reference to the near-definitive 2005 version.",positive
37049,"I admire the effort of trying to reach out to the rest of the world with this tragic story. However, the movie is done SO BADLY that most people I know couldn't sit through it. The movie was relevant to me since I lived in Estonia when these events took place, but it is written horribly and fails to capture the attention of someone who knows nothing on the matter. The music choices do not flow well with the movie, it seems as if someone just turned a CD player on in the background to put the actors ""in the mood"". The acting... well, what acting? The only people acting are Jürgen Prochnow and Donald Sutherland, even though Prochnow seems uncomfortable in this role. As far as the relationship development goes between Erik Westermark (Jürgen Prochnow) and Julia Reuter (Greta Scacchi), it is like watching a train wreck. There is absolutely no chemistry and it is painful to witness their ""sincere moments."" This is not a good movie. There is a difference between trying to get a message out (could've been a documentary!) and trying to make a good movie. This is a failure and anyone here who says otherwise makes me wonder if they are trying to promote it. As a matter of fact, as a native of Estonia I am offended by this miserable effort. This tragedy deserves more than just a homemade low-budget ghost chase excuse of a movie. This could have been much more!",negative
28958,"Loved this film. Real people, great acting, humour, unpredictable. The characters were believable and you really connected with them. If you're looking for a film about slightly offbeat characters outside the mainstream of society and how they help each other, this would be a good choice.",positive
38234,"I just cant see what everyone sees in this movie. The acting is just awful, the choice of music is, mildly putting it, peculiar, there arent enough fighting scenes, the plot is non-existent and whatever small entertainment one could get from this film is ruined by the annoying way some of the movie is filmed and gives you a splitting headace.",negative
4577,I don't know how anyone could hate this movie. It is so funny. It took a unique mind to come up with this storyline. It's not your typical alien movie. These aliens are so stupid and confused. You need to rent it at least once.,positive
16441,"Like most musicals of the era, one must check reality at the door. Broadway MELODY of 1938 is not remotely believable nor plausible, but kind of fun in its strange way. This movie is really just an excuse to execute the talents of the stars. Some scenes just happen as if they were in a review, not a plot driven movie.<br /><br />Judy Garland shines and it's a pity she has so little to do unless much was left on the cutting room floor.<br /><br />One of the most inane happenings are the way Eleanor Powell get a lead role in a Broadway show and Robert Taylor says it's going to be work, work, work from dawn til dusk. Several scenes go by and there's no work, no rehearsals...NOTHING. She needs money to win a horse in an auction. She has no money. Isn't she getting paid while she rehearses? Taylor has to borrow money to help. He's supposed to be a big time producer. He has no money??? Anyway, that's just two elements in this strange story.<br /><br />The musical numbers are quite wonderful which saves this from being a total loss. Broadway MELODY OF 1940 is much better as is Broadway MELODY OF 1936.",negative
35067,"I thought maybe... maybe this could be good. An early appearance by the Re-Animator (Jeffery Combs); many homage's to old horror movies; the Troma label on the front this movie could be a gem! I thought wrong.<br /><br />Frightmare is a boring, overplayed, half assed homage to the fright films of yore. The story is an old one, young people breaking into a house, getting drunk, making love, and tampering with things that shouldn't be tampered with. The oft  recycled slasher film formula is used here, this time with a thought to be dead actor named Conrad Radzoff doing the killing. In fact, the performance by the Radzoff's actor Ferdy Mayne is the only redeeming quality of this film. He does the snooty Dracula style character very well. But as for the kids, its not so good, with Combs only having a minimal part.<br /><br />The film lacks entertainment value, and only features one cool character, and one or two scenes that can hold your attention. I do not recommend this film unless you are desperate for something to watch, and this is the only movie left at blockbuster.",negative
7804,"WARNING: REVIEW CONTAINS SLIGHT SPOILERS<br /><br />There's a parallel universe out there where Gone In 60 Seconds is a dark, edgy, controversial independent movie. Unfortunately in this dimension Gone... is a flashy, vacuous, testosterone-fuelled moronfest starring Nicolas Cage.<br /><br />For reasons not really worth getting into, he and his large number of cronies have four days to steal fifty expensive cars, only one of which has an alarm. This crew consists of the guy with the funny-shaped ears who's rumoured to be the new Superman; a guy who conducted electricity in The X-Files; an ex-professional footballer and two token black men.<br /><br />Their enemies are cops, rival car thieves and Bilborough from Cracker, his Manchester accent suitably flattened and broadened for American audiences who are now used to that sort of thing since Daphne in Frasier. There's also Angelina Jolie, who gets no character; save to be a receptacle to men's sexual desires. She and Cage are supposed to be old flames, which is odd, as they never have anything approaching a normal conversation in all of the film's overlong 135m running time.<br /><br />In fact, characterisation is so poor that whenever anyone has a ""moment"" a violin plays in the background to accentuate the ""emotion"". It's no spoiler to reveal that Vinnie Jones (who recreates his famous Paul Gasgoine ""hand ball"" manoeuvre and is quite menacing when silent) only gets one line; not because his inability to speak is integral to the plot but because his eloquent summing up of the film's dubious morality after appearing mute the whole way through is funny. Allegedly. After he struggles through it in his ""not-quite-acting-but-it'll-do"" London drawl, Cage quips ""I always thought you were from Long Island"". My ribs, as you might imagine, were well and truly tickled.<br /><br />In fact humour is the most undeveloped aspect, from the tactless comedy policeman to the two token black characters. This sees the biggest aspect of Hollywood take hold; why is it that a black man cannot appear in a major motion picture without being constantly aware of his skin tone and endlessly refer to it? The younger man, who, like the elder, jive-talks for the whole duration, proclaims: ""us black people don't like the cold ... we're tropical people"". He then goes on to express an urge to smoke a joint and watch Roots. He is, of course, parodying the image of black people, but how funny is that? His older counterpart cannot speak without referring to himself, and thereby his colour, in third person. ""My black ass"" this, ""my black ass"" that. Does anyone know any black people who actually speak like that? Thought not.<br /><br />The film's soundtrack is played almost non-stop and with increasing volume, some of the tracks - especially Apollo 440's ""Don't Stop The Rock"" - so loud they're actually more audible than the sound effects and dialogue. The surroundsound system even separates the two to such a degree that it makes them sound like two different films running together. No background music concept here, it's the aural equivalent of trying to watch a film while someone at the back of the cinema has their stereo turned up full blast. ""Keep that music down, young man!""<br /><br />This isn't the worst film in the world and in many ways I enjoyed it. It's just that it's predictable, lazy and witless, with minimal effort in its construction. Apparently box office expectations are considerably down for this movie. After being force-fed junk for several years it appears the general public are starting to wake up to the fact.",negative
15666,"This interesting documentary tells a remarkable tale of an expedition to take blind Tibetan children trekking in the Himalayas; but also of a personality clash between two remarkable people. On one hand, there is Erik Weihenmeyer, the first blind man to climb Everest, and the team of (sighted) mountaineers who are guiding the kids. On the other, there is Sabriye Tenberken, a blind woman who runs the first school for blind Tibetans, who agrees to the expedition but subsequently has doubts about how it is progressing. At some level, Sabine simply doesn't understand the mountaineer's philosophy (with it's emphasis on summitting); she is probably right in identifying the mismatch between the mountaineers goals and the desires of the children but her certainty in her own correctness makes her a hard person to sympathise with, especially as she has an effective veto. In the background to this (reasonably well-mannered) clash, we get an insight into the lives of the children themselves. I enjoyed the film, although it delivers a message clearly designed to be uplifting - even though it details the quarrel, the film somewhat relentlessly asserts how amazing all those who feature in it are. But it's hard to argue with that assessment, even if it is presented to the viewer somewhat unsubtly.",positive
31162,"This movie is simply one of the best movies I have the privilage of owning. It took me years to come up with this movie and it was well worth it. The movie is meant to be anti-drug propaganda but turns itself into the opposite while not even halfway through the movie. The relished look on the faces of the players as they receive their bounty of drugs is pleasing to all those who observe. Untill the final phase pf their drug induced lives, heroin comes for its say. YIKES! This is the anti-drug message that was so fabulously sought. The soundtrack for this movie kicks butt! By far it is one of Pink Floyds best albums ever! If ever the chance, take a look, listen, and moment to witness a spectacularly made movie.",positive
21649,"I do love B- horror films. I however, am generally not a huge fan of ""so stupid it's funny"" films. I HAD to rate this so highly simply because Death Bed: the bed that eats, is so one of a kind, and so original. there are plenty of question marks, plenty of plot holes, and the WTF factor is cranked up to 11, but i was really not bored for a second. I really couldn't call it creepy at any point, Every minute i was saying to myself ""what the hell is this bed/film going to do next!"" I watched this with a friend that is in no way a fan of horror or B- movies, and even she was pretty into it. the effects were actually very inventive and the colors, and atmosphere were quite good. it keeps a very consistent and even tone throughout most of the film, (albeit an incredibly ludicrous consistency) and the acting wasn't TERRIBLE. I can see from the point that there are certain inconsistencies in the actions of the bed that make the suspension of belief damn near impossible, but the film itself was such a unique and bizarre concept, that that fact didn't really bother me. seriously, for me, this film hit that realm of one i will not only never forget, but i guarantee i will find myself thinking back on certain scenes in the future. does anyone else know of any other films in the inanimate objects that eat people genre? totally fantastic.",positive
